0,44,16,90,99,6,1,68,88,77,28,32,5,18,0,56,17,41,62,14,40,93,49,6,86,33,14,54,55,43,4,94,32,58,56,99,70,42,24,79,100,37,71,96,1,32,32,21,95,13,44,61,12,47,66,84,22,62,33,17,8,58,25,25,57,71,56,79,91,13,45,27,24,31,26,34,88,72,72,22,0,50,9,59,48,85,49,14,36,70,76,73,44,55,100,67,69,16,67,48,54
1,92,68,20,65,90,41,20,78,64,79,18,12,99,99,93,51,14,13,40,36,11,18,60,35,37,57,98,0,47,23,97,18,42,49,3,15,73,75,38,62,78,61,65,33,33,12,16,25,36,93,6,58,6,14,69,17,77,71,15,95,88,83,81,29,52,46,93,42,87,2,58,79,92,48,67,54,75,96,50,85,87,90,43,43,49,1,29,60,81,57,44,51,29,39,65,69,54,27,73,73
2,90,6,40,1,39,15,71,92,43,50,77,32,45,50,83,99,13,54,66,31,68,53,75,49,54,30,67,1,55,87,68,62,49,51,29,75,64,55,72,42,44,37,62,53,9,20,92,56,70,11,4,57,50,36,69,69,13,44,70,57,84,77,96,43,88,61,11,12,4,85,16,79,89,44,15,90,54,49,47,13,52,68,87,23,89,58,40,85,33,24,17,21,48,18,86,18,10,1,80,69
3,65,45,96,15,92,62,75,1,34,44,87,7,61,37,49,99,88,21,15,68,14,71,15,67,55,51,98,29,99,9,88,2,31,70,4,51,40,86,36,79,100,47,40,66,71,49,65,54,22,34,43,58,29,3,28,22,92,79,32,5,71,62,93,45,60,18,3,81,63,87,35,62,85,55,84,28,87,53,20,32,34,11,18,19,35,1,79,30,2,55,29,47,6,87,18,19,9,70,92,19
4,79,26,15,45,16,3,88,99,9,50,46,16,92,51,23,80,90,60,51,18,13,1,30,71,25,0,5,74,23,29,0,99,40,46,47,87,61,81,60,51,3,36,29,23,79,80,81,94,77,47,3,63,74,73,29,22,13,27,28,68,46,42,27,99,47,49,83,27,80,94,57,90,15,58,79,65,73,42,69,60,69,8,74,100,35,32,90,59,85,31,41,32,54,32,83,62,52,78,86,25
5,33,28,42,72,2,6,69,31,44,92,50,99,46,32,99,85,25,19,97,35,49,56,41,30,35,63,81,42,83,28,57,74,8,23,73,53,90,100,60,4,76,28,76,38,14,2,7,28,95,89,9,48,81,37,4,31,62,13,8,67,89,85,24,95,8,60,80,77,40,82,56,56,0,7,22,50,55,29,91,58,6,7,54,98,13,70,33,52,100,78,81,74,94,28,81,27,1,79,3,75
6,41,66,65,69,30,58,85,40,77,7,11,61,60,65,27,5,74,99,25,26,16,1,25,34,84,86,5,61,29,62,46,34,97,24,1,9,59,26,5,33,46,64,28,5,83,48,9,87,27,29,55,41,8,84,70,52,4,92,8,62,84,8,9,17,24,96,74,6,35,78,50,49,59,35,33,79,6,72,67,81,19,1,10,80,8,30,82,11,29,85,88,98,60,85,93,11,64,76,11,15
7,14,47,26,34,36,65,74,94,45,76,60,60,1,31,36,76,15,74,80,60,90,40,60,3,54,79,26,34,90,70,53,84,30,22,85,65,36,87,10,90,59,41,48,12,91,71,23,18,8,70,94,100,14,2,54,57,46,57,9,1,43,20,44,58,33,69,36,81,100,35,80,36,41,86,6,37,24,72,38,53,66,55,90,21,86,51,75,31,93,85,57,96,62,45,74,44,96,59,31,3
8,55,27,57,18,60,54,59,86,35,49,71,2,96,35,17,58,16,81,5,0,62,83,97,4,27,55,1,74,46,96,43,7,89,58,78,15,82,28,75,68,70,70,9,100,29,89,55,43,55,95,9,43,28,98,55,23,23,32,40,58,98,38,10,4,54,100,74,65,52,90,82,50,29,8,54,8,8,56,52,75,19,61,17,32,30,37,97,86,91,55,16,99,36,10,81,98,45,93,87,72
9,32,32,21,29,85,24,35,53,89,81,24,51,93,69,55,95,93,35,51,11,69,19,83,5,69,77,68,49,26,6,81,37,41,37,90,46,90,52,19,78,29,9,17,79,29,77,87,22,59,76,15,92,20,32,58,20,31,12,65,50,74,11,73,67,93,75,66,55,74,77,46,76,89,31,3,47,11,23,12,52,42,62,96,15,16,23,57,72,54,23,20,83,89,85,78,97,66,92,95,13
10,5,22,70,20,17,92,10,43,85,11,30,82,59,35,51,80,19,59,62,28,69,64,16,38,22,60,27,83,66,24,5,72,9,69,11,49,55,2,50,10,68,74,94,54,42,100,65,97,76,95,38,87,88,5,86,17,68,31,20,60,43,51,78,44,22,86,48,43,87,20,43,9,91,34,77,28,84,91,71,79,97,27,11,69,5,73,28,19,45,77,92,73,89,91,87,49,29,28,35,92
11,86,69,34,66,79,34,9,13,47,97,33,88,75,74,56,26,14,69,49,21,67,28,81,53,63,72,47,25,39,97,78,6,90,13,59,21,86,29,32,13,28,40,92,48,65,26,83,85,16,58,84,88,98,15,6,93,61,2,91,99,9,61,62,65,8,80,96,41,66,12,75,76,42,13,45,37,91,59,61,73,10,26,18,79,79,47,89,7,7,84,100,80,83,58,18,92,19,36,59,33
12,39,81,5,96,54,93,64,97,32,94,0,57,69,91,41,71,41,97,97,66,53,62,82,25,16,58,71,73,12,25,88,38,0,66,95,62,93,66,3,37,12,49,65,9,92,55,89,94,31,34,50,58,78,10,21,52,18,2,97,37,88,81,25,81,95,79,74,45,91,70,28,57,35,60,68,5,11,10,71,96,53,19,40,14,38,67,95,40,56,82,75,19,4,0,72,96,33,46,93,26
13,26,66,4,3,92,46,16,31,27,78,37,44,63,18,97,87,3,39,1,15,35,16,62,19,11,96,49,73,81,35,70,50,49,56,22,90,100,54,94,48,62,89,13,46,59,25,27,8,58,32,53,75,54,28,71,28,73,88,42,20,18,24,15,23,9,71,46,54,50,18,57,24,99,59,27,41,43,3,20,99,24,45,62,92,80,15,29,75,79,97,57,9,71,73,25,39,75,34,31,67
14,91,49,20,96,61,81,2,73,57,97,45,67,22,47,56,38,38,26,1,12,96,86,16,59,27,18,72,27,92,16,31,95,18,42,50,17,35,29,71,95,24,97,90,0,40,66,52,60,38,97,5,88,98,57,5,58,28,58,97,11,20,11,79,40,63,34,72,59,88,100,37,95,30,62,1,14,47,30,79,8,30,93,6,62,62,52,76,72,72,5,32,38,74,48,75,8,19,89,35,15
15,6,81,95,29,52,7,47,94,57,73,77,11,74,68,54,95,39,11,81,47,72,14,17,76,0,33,21,38,1,63,43,53,89,57,67,68,85,94,99,66,81,41,64,21,24,93,1,48,93,39,33,94,6,44,78,92,89,69,49,2,87,58,49,81,95,50,74,73,79,30,15,38,52,13,48,52,75,38,33,37,50,79,95,17,16,17,67,50,92,42,49,23,5,27,35,49,65,73,84,45
16,82,85,83,84,67,72,98,3,44,55,96,62,19,30,66,83,62,69,78,90,90,58,18,8,57,85,92,74,62,94,21,24,44,5,31,77,30,92,82,69,71,41,71,52,19,55,19,86,18,46,75,17,63,68,46,58,83,96,60,38,8,84,51,83,100,87,72,62,93,81,77,82,85,48,77,76,82,78,52,82,88,30,48,92,47,48,78,12,2,56,58,34,1,87,36,92,68,14,56,74
17,73,84,6,84,70,54,100,45,82,51,17,25,88,28,74,86,33,63,92,57,98,87,39,49,49,90,21,15,42,1,4,40,78,54,0,68,84,10,63,53,61,75,25,68,11,79,58,17,21,91,40,48,70,72,19,26,62,64,41,34,92,42,40,100,3,91,95,13,27,22,52,72,51,48,21,20,43,55,23,82,99,4,84,39,1,68,53,19,54,86,36,98,43,46,27,98,31,2,8,22
